,quote,movie,type,year,poster_link
231,I know kung fu.,The Matrix,movie,1999,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
232,People hurt the ones they love. That's how it is all around the world,The Green Mile,movie,1999,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UX67_CR0,0,67,98_AL_.jpg"
233,We need guns. Lots of guns.,Matrix,movie,1999,
234,Damn! We're in a tight spot!,"O Brother, Where Art Thou?",movie,2000,"https://m.media-amazon.com/images/M/MV5BMjZkOTdmMWItOTkyNy00MDdjLTlhNTQtYzU3MzdhZjA0ZDEyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
235,Are you not entertained?,Gladiator,movie,2000,"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
236,They called me Mr. Glass.,Unbreakable,movie,2000,
237,"I have nipples, Greg. Could you milk me?",Meet the Parents,movie,2000,
238,"I hope he didn’t die. Unless he left a note naming me his successor, then I hope he did die.",Futurama,tv,2000,
239,There are No Accidents. No Coincidences. No Escapes. YOU CAN'T CHEAT DEATH.,Final Destination,tv,2000,
240,"Dude, where's my car?","Dude, Where's My Car?",movie,2000,
241,Do you know what happens to a toad when it's struck by lightning? The same thing that happens to everything else.,X-men,movie,2000,
242,Your eyes are like two big blue eyes.,Flintstones in Viva Rock Vegas,movie,2000,
243,The key to a woman's heart is an unexpected gift at an unexpected time.,Finding Forrester,movie,2000,
244,"I'll take poor assumptions for $800, Alex.",Finding Forrester,movie,2000,
245,Wilsoooooon.,Cast Away,movie,2000,"https://m.media-amazon.com/images/M/MV5BN2Y5ZTU4YjctMDRmMC00MTg4LWE1M2MtMjk4MzVmOTE4YjkzXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX67_CR0,0,67,98_AL_.jpg"
246,"Wilma, whatever you decide to do, I want you to know something. Your daddy will always love you.",Flintstones in Viva Rock Vegas,movie,2000,
247,Oh Fred. That's so sweet.,Flintstones in Viva Rock Vegas,movie,2000,
248,"If you utter so much as one syllable, I'LL HUNT YOU DOWN AND GUT YOU LIKE A FISH! If you'd like to fax me, press the star key.",The Grinch,movie,2000,
249,"My name is Maximus Decimus Meridius, commander of the Armies of the North, General of the Felix Legions and loyal servant to the true emperor, Marcus Aurelius. Father to a murdered son, husband to a murdered wife. And I will have my vengeance, in this life or the next.",Gladiator,movie,2000,"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
250,"No thinking -- that comes later. You must write your first draft with your heart. You rewrite with your head. The first key to writing is... to write, not to think!",Finding Forrester,movie,2000,
251,We could not talk or talk forever and still find things to not talk about.,Best in Show,movie,2000,
252,Snnnnnooooooooooow!!!!!!!!!,Snow Day,movie,2000,
253,I have nipples Greg. Could you milk me?,Meet the Parents,movie,2000,
254,I've gotta get out of this place. Someday I'm getting on that train.,Spirited Away,movie,2001,
255,Yeah. We graduated high school. How totally amazing.,Ghost World,movie,2001,
256,One can never have enough socks.,Harry Potter and the Philosopher's Stone,movie,2001,
257,"Just what do you think you're doing, Dave?",A Space Odyssey,movie,2001,
258,"You're a wizard, Harry.",Harry Potter and the Sorcerer's Stone,movie,2001,"https://m.media-amazon.com/images/M/MV5BNjQ3NWNlNmQtMTE5ZS00MDdmLTlkZjUtZTBlM2UxMGFiMTU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX67_CR0,0,67,98_AL_.jpg"
259,"What you NEED to do is get me my chips!!! With dip!!! Cuz you're delinquent, motherfucker!",The Wash,movie,2001,
260,You shall not pass!,The Lord of the Rings: The Fellowship of the Ring,movie,2001,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg"
261,Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,The Fast and The Furious,movie,2001,
262,Even the smallest person can change the course of the future.,The Lord of the Rings: The Fellowship of the Ring,movie,2001,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg"
263,"So be prepared, be enthusiastic, and leave your bullshit attitude and baggage at the door because we don't need it!",Wet Hot American Summer,movie,2001,
264,I live my life a quarter mile at a time.,The Fast and the Furious,movie,2001,
265,They say that dreams are only real as long as they last. Couldn't you say the same thing about life?,Waking Life,movie,2001,"https://m.media-amazon.com/images/M/MV5BMWM0ZjY5ZjctODNkZi00Nzk0LWE1ODUtNGM4ZDUyMzUwMGYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
266,All we have to decide what to do with the time that is given to us.,Lord Of The Ring - The Fellowships Of The Ring,movie,2001,
267,Exercise gives you endorphins. Endorphins make you happy. Happy people just don't shoot their husbands. They just don't.,Legally Blonde,movie,2001,
268,What is this? A center for ants?,Zoolander,movie,2001,
269,All we have to decide is what to do with the time that is given us.,The Lord of the Rings: The Fellowship of the Ring,movie,2001,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg"
270,"Of the days that I have lived, only those I spent with you seemed real.",Cowboy Bebop: The Movie,movie,2001,
271,Ogres are like onions.,Shrek,movie,2001,"https://m.media-amazon.com/images/M/MV5BOGZhM2FhNTItODAzNi00YjA0LWEyN2UtNjJlYWQzYzU1MDg5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
272,"Once you meet someone, you never really forget them. It just takes a while for your memory to come back to you",Spirited Away,movie,2001,
273,I don't know half of you half as well as I should like; and I like less than half of you half as well as you deserve.,The Lord of the Rings: The Fellowship of the Ring,movie,2001,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg"
274,The greatest thing you’ll ever learn is just to love and be loved in return.,Moulin Rouge,movie,2001,
275,It's only in the mysterious equation of love that any logical reasons can be found.,A Beautiful Mind,movie,2001,"https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
276,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.",The Lord of The Rings: The Fellowship of the Ring,movie,2001,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg"
277,Even the smallest person can change the course of history.,The Lord of the Rings: The Fellowship of the Ring,movie,2001,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg"
278,"It’s a dangerous business, going out your door…You step into the Road, and if you don’t keep your feet, there is no knowing where you might be swept off to.",The Lord of the Rings: The Fellowship of the Ring,movie,2001,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg"
279,"No, I like you very much, just as you are.",Bridget Jone's Diary,movie,2001,
280,"Welcome the rich man, he's hard for you to miss. His butt keeps getting bigger, so there's plenty there to kiss!",Spirited Away,movie,2001,
281,Do you like dags?,The Snatch,movie,2001,
282,"There’s some good in this world, and it’s worth fighting for.",The Lord of the Rings: The Two Towers,movie,2002,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
283,I'm tired of people who judge me without knowing my history.,8 miles,movie,2002,
284,"I don't like sand. It's all coarse, and rough, and irritating. And it gets everywhere.",The Lord of the Rings: The Two Towers,movie,2002,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
285,"Your time will come. You will face the same Evil, and you will defeat it.",The Lord of the Rings: The Fellowship of the Ring,movie,2002,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg"
286,The battle of Helm's Deep is over; the battle for Middle Earth is about to begin. ,The Lord of the Rings: The Two Towers,movie,2002,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
287,It is not our abilities that show what we truly are… it is our choices.,Harry Potter and the Chamber of Secrets,movie,2002,
288,With great power comes great responsibility.,Spider Man,movie,2002,
289,"Dadinho é o caralho, meu nome é Zé Pequeno porra!",Cidade de Deus,movie,2002,"https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
